# chip's layout
10 10
10 78.741
78.741 78.741
78.741 10
10 10

39.197 46.695
46.851 46.695
46.851 46.78
39.197 46.78
39.197 46.695

36.079 46.411
46.851 46.411
46.851 46.496
36.079 46.496
36.079 46.411

32.961 46.128
46.851 46.128
46.851 46.213
32.961 46.213
32.961 46.128

29.843 45.844
46.851 45.844
46.851 45.929
29.843 45.929
29.843 45.844

42.315 45.561
46.851 45.561
46.851 45.646
42.315 45.646
42.315 45.561

10 68.678
40.048 68.678
40.048 70.464
10 70.464
10 68.678

39.197 46.652
40.048 46.652
40.048 69.928
39.197 69.928
39.197 46.652

10 61.478
36.929 61.478
36.929 63.264
10 63.264
10 61.478

36.079 46.369
36.929 46.369
36.929 62.728
36.079 62.728
36.079 46.369

10 54.278
33.811 54.278
33.811 56.063
10 56.063
10 54.278

32.961 46.085
33.811 46.085
33.811 55.528
32.961 55.528
32.961 46.085

10 43.477
30.693 43.477
30.693 45.263
10 45.263
10 43.477

29.843 44.013
30.693 44.013
30.693 45.972
29.843 45.972
29.843 44.013

10 14.677
13.317 14.677
13.317 16.463
10 16.463
10 14.677

14.677 14.677
43.166 14.677
43.166 16.463
14.677 16.463
14.677 14.677

14.677 10
16.463 10
16.463 15.927
14.677 15.927
14.677 10

42.315 15.213
43.166 15.213
43.166 45.688
42.315 45.688
42.315 15.213

14.677 75.878
16.463 75.878
16.463 78.741
14.677 78.741
14.677 75.878


# proximity conflict

39.197 46.695
36.079 46.411

36.079 46.411
39.197 46.695
36.079 46.411
32.961 46.128
36.079 46.411
39.197 46.652

32.961 46.128
36.079 46.411
32.961 46.128
29.843 45.844
32.961 46.128
39.197 46.652
32.961 46.128
36.079 46.369
32.961 46.128
42.315 15.213

29.843 45.844
32.961 46.128
29.843 45.844
42.315 45.561
29.843 45.844
36.079 46.369
29.843 45.844
32.961 46.085
29.843 45.844
42.315 15.213

42.315 45.561
29.843 45.844

39.197 46.652
36.079 46.411
39.197 46.652
32.961 46.128

36.079 46.369
32.961 46.128
36.079 46.369
29.843 45.844

32.961 46.085
29.843 45.844

42.315 15.213
32.961 46.128
42.315 15.213
29.843 45.844


# laplace conflict

39.197 46.695
39.197 46.652

36.079 46.411
36.079 46.369

32.961 46.128
32.961 46.085

29.843 45.844
29.843 44.013

42.315 45.561
42.315 15.213

39.197 46.652
10 68.678

36.079 46.369
10 61.478

32.961 46.085
10 54.278

29.843 44.013
10 43.477

14.677 10
14.677 14.677

42.315 15.213
14.677 14.677

